calibration_ratio,liquidity_intensity,market_intensity,outcome,estimate,ci_low,ci_high,replication_blocks,agents,events
0.5,0,0,exit_rate,0,0,0,200,20000,0
0.5,0,0,rmst_days,30,30,30,200,20000,0
0.5,0,1,exit_rate,0.0145,0.00795,0.02190125,200,20000,290
0.5,0,1,rmst_days,29.9343,29.886385,29.9716025,200,20000,290
0.5,0,2,exit_rate,0.31145,0.26459375,0.35986,200,20000,6229
0.5,0,2,rmst_days,27.15185,26.5927575,27.6958075,200,20000,6229
0.5,1,0,exit_rate,0.0037,0.0029,0.00455,200,20000,74
0.5,1,0,rmst_days,29.99695,29.99585,29.9979,200,20000,74
0.5,1,1,exit_rate,0.20655,0.1661475,0.2484125,200,20000,4131
0.5,1,1,rmst_days,29.08145,28.8002275,29.32196875,200,20000,4131
0.5,1,2,exit_rate,0.6814,0.63045,0.73355625,200,20000,13628
0.5,1,2,rmst_days,23.38475,22.54472625,24.21643125,200,20000,13628
0.5,2,0,exit_rate,0.5117,0.50519875,0.51875125,200,20000,10234
0.5,2,0,rmst_days,27.2435,27.18743125,27.30030875,200,20000,10234
0.5,2,1,exit_rate,0.79875,0.7711,0.82540625,200,20000,15975
0.5,2,1,rmst_days,24.5744,24.14539,24.99174125,200,20000,15975
0.5,2,2,exit_rate,0.9381,0.91984875,0.95590125,200,20000,18762
0.5,2,2,rmst_days,19.20965,18.41717125,19.99570375,200,20000,18762
1,0,0,exit_rate,0,0,0,200,20000,0
1,0,0,rmst_days,30,30,30,200,20000,0
1,0,1,exit_rate,0.00065,5e-05,0.00165,200,20000,13
1,0,1,rmst_days,29.9997,29.99915,30,200,20000,13
1,0,2,exit_rate,0.13265,0.1029925,0.16375,200,20000,2653
1,0,2,rmst_days,29.1006,28.823345,29.3341875,200,20000,2653
1,1,0,exit_rate,0.1701,0.16494875,0.17555,200,20000,3402
1,1,0,rmst_days,29.4407,29.415045,29.467,200,20000,3402
1,1,1,exit_rate,0.3426,0.31005,0.37855375,200,20000,6852
1,1,1,rmst_days,28.7454,28.5381475,28.9329175,200,20000,6852
1,1,2,exit_rate,0.72165,0.67714,0.76682625,200,20000,14433
1,1,2,rmst_days,24.2459,23.5395575,24.94500125,200,20000,14433
1,2,0,exit_rate,0.93585,0.93244875,0.93915,200,20000,18717
1,2,0,rmst_days,20.7649,20.6938875,20.83605625,200,20000,18717
1,2,1,exit_rate,0.9839,0.98034875,0.98695,200,20000,19678
1,2,1,rmst_days,19.53565,19.33021125,19.7213325,200,20000,19678
1,2,2,exit_rate,0.99535,0.99315,0.99725,200,20000,19907
1,2,2,rmst_days,16.86095,16.42523375,17.29614125,200,20000,19907
2,0,0,exit_rate,0,0,0,200,20000,0
2,0,0,rmst_days,30,30,30,200,20000,0
2,0,1,exit_rate,0,0,0,200,20000,0
2,0,1,rmst_days,30,30,30,200,20000,0
2,0,2,exit_rate,0.0145,0.00814875,0.0224,200,20000,290
2,0,2,rmst_days,29.9343,29.884395,29.97160125,200,20000,290
2,1,0,exit_rate,0.5117,0.5043975,0.51855,200,20000,10234
2,1,0,rmst_days,27.2435,27.18848875,27.29710375,200,20000,10234
2,1,1,exit_rate,0.58875,0.572895,0.60610375,200,20000,11775
2,1,1,rmst_days,26.9722,26.87856375,27.07285,200,20000,11775
2,1,2,exit_rate,0.79875,0.7730975,0.82475375,200,20000,15975
2,1,2,rmst_days,24.5744,24.16418875,24.98588625,200,20000,15975
2,2,0,exit_rate,0.99895,0.9985,0.99935,200,20000,19979
2,2,0,rmst_days,15.8606,15.79878625,15.9199525,200,20000,19979
2,2,1,exit_rate,0.99995,0.99985,1,200,20000,19999
2,2,1,rmst_days,15.58535,15.51354375,15.65530125,200,20000,19999
2,2,2,exit_rate,1,1,1,200,20000,20000
2,2,2,rmst_days,14.685,14.5038325,14.848475,200,20000,20000
