calibration_ratio,liquidity_intensity,market_intensity,exit_reason,agents,cell_agents,share_of_cell
0.5,0,0,censored,20000,20000,1
0.5,0,1,censored,19710,20000,0.9855
0.5,0,1,insolvency,290,20000,0.0145
0.5,0,2,censored,13771,20000,0.68855
0.5,0,2,insolvency,6229,20000,0.31145
0.5,1,0,censored,19926,20000,0.9963
0.5,1,0,unpaid_liquidity,74,20000,0.0037
0.5,1,1,censored,15869,20000,0.79345
0.5,1,1,insolvency,4071,20000,0.20355
0.5,1,1,unpaid_liquidity,60,20000,0.003
0.5,1,2,both,4,20000,0.0002
0.5,1,2,censored,6372,20000,0.3186
0.5,1,2,insolvency,13603,20000,0.68015
0.5,1,2,unpaid_liquidity,21,20000,0.00105
0.5,2,0,censored,9766,20000,0.4883
0.5,2,0,unpaid_liquidity,10234,20000,0.5117
0.5,2,1,both,548,20000,0.0274
0.5,2,1,censored,4025,20000,0.20125
0.5,2,1,insolvency,9496,20000,0.4748
0.5,2,1,unpaid_liquidity,5931,20000,0.29655
0.5,2,2,both,393,20000,0.01965
0.5,2,2,censored,1238,20000,0.0619
0.5,2,2,insolvency,15725,20000,0.78625
0.5,2,2,unpaid_liquidity,2644,20000,0.1322
1,0,0,censored,20000,20000,1
1,0,1,censored,19987,20000,0.99935
1,0,1,insolvency,13,20000,0.00065
1,0,2,censored,17347,20000,0.86735
1,0,2,insolvency,2653,20000,0.13265
1,1,0,censored,16598,20000,0.8299
1,1,0,unpaid_liquidity,3402,20000,0.1701
1,1,1,both,104,20000,0.0052
1,1,1,censored,13148,20000,0.6574
1,1,1,insolvency,3908,20000,0.1954
1,1,1,unpaid_liquidity,2840,20000,0.142
1,1,2,both,154,20000,0.0077
1,1,2,censored,5567,20000,0.27835
1,1,2,insolvency,12993,20000,0.64965
1,1,2,unpaid_liquidity,1286,20000,0.0643
1,2,0,censored,1283,20000,0.06415
1,2,0,unpaid_liquidity,18717,20000,0.93585
1,2,1,both,1099,20000,0.05495
1,2,1,censored,322,20000,0.0161
1,2,1,insolvency,5715,20000,0.28575
1,2,1,unpaid_liquidity,12864,20000,0.6432
1,2,2,both,1000,20000,0.05
1,2,2,censored,93,20000,0.00465
1,2,2,insolvency,11460,20000,0.573
1,2,2,unpaid_liquidity,7447,20000,0.37235
2,0,0,censored,20000,20000,1
2,0,1,censored,20000,20000,1
2,0,2,censored,19710,20000,0.9855
2,0,2,insolvency,290,20000,0.0145
2,1,0,censored,9766,20000,0.4883
2,1,0,unpaid_liquidity,10234,20000,0.5117
2,1,1,both,267,20000,0.01335
2,1,1,censored,8225,20000,0.41125
2,1,1,insolvency,2187,20000,0.10935
2,1,1,unpaid_liquidity,9321,20000,0.46605
2,1,2,both,548,20000,0.0274
2,1,2,censored,4025,20000,0.20125
2,1,2,insolvency,9496,20000,0.4748
2,1,2,unpaid_liquidity,5931,20000,0.29655
2,2,0,both,2,20000,0.0001
2,2,0,censored,21,20000,0.00105
2,2,0,unpaid_liquidity,19977,20000,0.99885
2,2,1,both,906,20000,0.0453
2,2,1,censored,1,20000,5e-05
2,2,1,insolvency,2059,20000,0.10295
2,2,1,unpaid_liquidity,17034,20000,0.8517
2,2,2,both,1450,20000,0.0725
2,2,2,insolvency,5988,20000,0.2994
2,2,2,unpaid_liquidity,12562,20000,0.6281
