population,liquidity_intensity,market_intensity,exit_rate,baseline_exit_rate_n100,exit_rate_difference,rmst_days,baseline_rmst_days_n100,rmst_difference_days,within_tolerance
50,0,0,0,0,0,30,30,0,1
50,0,1,0.0048,0.00065,0.00415,29.9748,29.9997,-0.0249,1
50,0,2,0.126,0.13265,-0.00665,28.8872,29.1006,-0.2134,1
50,1,0,0.1592,0.1701,-0.0109,29.51,29.4407,0.0693,1
50,1,1,0.3144,0.3426,-0.0282,28.5752,28.7454,-0.1702,1
50,1,2,0.7112,0.72165,-0.01045,24.6276,24.2459,0.3817,1
50,2,0,0.94,0.93585,0.00415,20.7652,20.7649,0.000300000000003,1
50,2,1,0.9856,0.9839,0.0017,19.5476,19.53565,0.01195,1
50,2,2,0.9956,0.99535,0.00025,16.6388,16.86095,-0.22215,1
200,0,0,0,0,0,30,30,0,1
200,0,1,0.0053,0.00065,0.00465,29.9675,29.9997,-0.0322,1
200,0,2,0.1256,0.13265,-0.00705,28.901,29.1006,-0.1996,1
200,1,0,0.1719,0.1701,0.0018,29.4222,29.4407,-0.0185,1
200,1,1,0.3236,0.3426,-0.019,28.5152,28.7454,-0.2302,1
200,1,2,0.7102,0.72165,-0.01145,24.5451,24.2459,0.2992,1
200,2,0,0.9366,0.93585,0.00075,20.6953,20.7649,-0.0696,1
200,2,1,0.9833,0.9839,-0.0006,19.4871,19.53565,-0.04855,1
200,2,2,0.9953,0.99535,-5e-05,16.6107,16.86095,-0.25025,1
